iid,aircraft,model,flight_date,damage,airline,dep_airport,origin_state,flight_phase,wildlife_size,sky_conditions,pilot_warned_flag,altitude_ft,heavy_flag,impact
206920,Airplane,DC-9,09/04/00 0:00,No damage,NORTHWEST AIRLINES,PORT COLUMBUS INTL,Ohio,Take-off run,Small,Some Cloud,N,0,No,None
202461,Airplane,GULFAERO III,09/05/00 0:00,No damage,BUSINESS,TETERBORO AIRPORT,New Jersey,Take-off run,Small,Some Cloud,N,0,No,None
205207,Airplane,A-320,09/05/00 0:00,No damage,UNITED AIRLINES,BALTIMORE WASH INTL,Maryland,Approach,Medium,No Cloud,Y,500,No,None
201570,Airplane,BA-31 JETSTR,09/07/00 0:00,No damage,CCAIR,NASHVILLE INTL,Tennessee,Take-off run,Small,Overcast,N,0,No,Aborted Take-off
204351,Airplane,B-737-300,09/08/00 0:00,No damage,CONTINENTAL AIRLINES,KANSAS CITY INTL,Missouri,Approach,Small,Some Cloud,Y,30,Yes,None
202351,Airplane,B-737-200,09/08/00 0:00,No damage,FRONTIER AIRLINES,EPPLEY AIRFIELD,Nebraska,Approach,Small,No Cloud,Y,200,Yes,None
204272,Airplane,BE-300 KING,09/09/00 0:00,No damage,BUSINESS,BIRMINGHAM-SHUTTLESWORTH INTL,Alabama,Landing Roll,Small,Some Cloud,Y,0,No,None
201340,Airplane,MU2,09/10/00 0:00,No damage,UNKNOWN,QUAD CITY ARPT,Illinois,Landing Roll,Medium,Some Cloud,Y,0,No,None
204571,Airplane,B-737-300,09/11/00 0:00,No damage,UNITED AIRLINES,BOB HOPE ARPT,California,Approach,Small,No Cloud,N,40,Yes,None
208477,Airplane,DORNIER,09/12/00 0:00,No damage,SKYWAY AIRLINES,GENERAL MITCHELL INTL,Wisconsin,Approach,Small,No Cloud,Y,"2,500",No,None
200193,Airplane,BE-200 KING,9/13/00 0:00,No damage,BUSINESS,LAURENCE G HANSCOM,Massachusetts,Landing Roll,Large,No Cloud,N,0,No,None
202764,Airplane,B-727-200,9/13/00 0:00,No damage,PAN AM,PEASE INTL TRADEPORT,New Hampshire,Take-off run,Small,Some Cloud,Y,0,No,None
206860,Airplane,EMB-145,9/13/00 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),CLEVELAND-HOPKINS INTL ARPT,Ohio,Approach,Small,No Cloud,Y,"2,200",No,None
200625,Airplane,FOKKER F100,9/15/00 0:00,No damage,US AIRWAYS,CHARLOTTE/DOUGLAS INTL ARPT,North Carolina,Approach,Small,No Cloud,N,150,No,None
200867,Airplane,SAAB-340,9/16/00 0:00,No damage,AMERICAN EAGLE AIRLINES,FRESNO YOSEMITE INTL,California,Approach,Medium,No Cloud,N,100,No,None
203468,Airplane,BA-41 JETSTR,9/20/00 0:00,No damage,ATLANTIC COAST AIRLINES,UNIVERSITY PARK ARPT,Pennsylvania,Take-off run,Small,Some Cloud,N,0,No,None
200147,Airplane,B-767-300,9/20/00 0:00,No damage,DELTA AIR LINES,SALT LAKE CITY INTL,Utah,Approach,Large,No Cloud,N,100,Yes,None
202797,Airplane,B-737-300,9/20/00 0:00,No damage,UNITED AIRLINES,COLORADO SPRINGS MUNICIPAL,Colorado,Landing Roll,Small,Some Cloud,N,0,Yes,None
205344,Airplane,BE-1900,9/21/00 0:00,Damage,EXPRESSJET (CONTINENTAL EXPRS),FORT WAYNE INTL,Indiana,Approach,Large,No Cloud,N,"3,200",No,None
200688,Airplane,DC-9-50,9/24/00 0:00,No damage,HAWAIIAN AIR,HILO INTL ARPT,Hawaii,Approach,Small,No Cloud,N,100,No,None
204695,Airplane,B-737-200,9/26/00 0:00,No damage,DELTA AIR LINES,ORLANDO INTL,Florida,Take-off run,Small,Some Cloud,Y,0,Yes,Precautionary Landing
205168,Airplane,SAAB-340,9/28/00 0:00,No damage,AMERICAN EAGLE AIRLINES,THEODORE FRANCIS GREEN STATE,Rhode Island,Landing Roll,Small,Some Cloud,N,0,No,None
200931,Airplane,BE-1900,9/28/00 0:00,No damage,GREAT LAKES AIRLINES,KEARNEY MUNICIPAL,Nebraska,Approach,Small,Some Cloud,N,"2,500",No,None
213893,Airplane,A-310,9/28/00 0:00,No damage,FEDEX EXPRESS,DETROIT METRO WAYNE COUNTY ARPT,Michigan,Take-off run,Large,No Cloud,Y,0,No,None
206536,Airplane,B-727,9/29/00 0:00,No damage,FEDEX EXPRESS,NEWARK LIBERTY INTL ARPT,New Jersey,Approach,Medium,No Cloud,N,"1,400",No,None
200479,Airplane,B-727-200,10/01/00 0:00,No damage,AMERICAN AIRLINES,TOCUMEN INTL,N/A,Approach,Small,Some Cloud,Y,150,No,None
214147,Airplane,FOKKER F100,10/02/00 0:00,No damage,AMERICAN AIRLINES,DALLAS/FORT WORTH INTL ARPT,Texas,Approach,Medium,No Cloud,N,20,No,None
202348,Airplane,CL-RJ100/200,10/03/00 0:00,No damage,ATLANTIC COAST AIRLINES,WASHINGTON DULLES INTL ARPT,DC,Approach,Small,No Cloud,Y,100,No,None
200048,Airplane,CITATION II,10/04/00 0:00,No damage,BUSINESS,NASHVILLE INTL,Tennessee,Approach,Small,No Cloud,N,"2,000",No,None
200403,Airplane,A-320,10/05/00 0:00,No damage,UNITED AIRLINES,LOGAN INTL,Massachusetts,Take-off run,Small,Overcast,Y,0,No,None
202758,Airplane,C-560,10/05/00 0:00,No damage,BUSINESS,BURKE LAKEFRONT,Ohio,Landing Roll,Medium,Overcast,Y,0,No,None
204244,Airplane,FOKKER F100,10/06/00 0:00,No damage,AMERICAN AIRLINES,DALLAS/FORT WORTH INTL ARPT,Texas,Approach,Medium,Some Cloud,Y,400,No,None
201960,Airplane,CL-RJ100/200,10/09/00 0:00,No damage,COMAIR AIRLINES,DETROIT METRO WAYNE COUNTY ARPT,Michigan,Approach,Small,No Cloud,N,300,No,None
206581,Airplane,EMB-110,10/10/00 0:00,No damage,GREAT LAKES AIRLINES,WATERLOO REGIONAL ARPT,Iowa,Take-off run,Small,No Cloud,Y,0,No,None
205661,Airplane,B-737,10/13/00 0:00,No damage,VANGUARD AIRLINES,KANSAS CITY INTL,Missouri,Landing Roll,Small,Some Cloud,Y,0,Yes,None
204994,Airplane,B-727,10/14/00 0:00,Damage,AMERICAN AIRLINES,SANTO DOMINGO/LAS AM,N/A,Climb,Medium,No Cloud,N,10,No,None
208027,Airplane,B-737-700,10/15/00 0:00,Damage,SOUTHWEST AIRLINES,ALBANY INTL,New York,Take-off run,Medium,No Cloud,N,0,Yes,Precautionary Landing
200477,Airplane,B-767-400,10/15/00 0:00,Damage,DELTA AIR LINES,FORT LAUDERDALE/HOLLYWOOD INTL,Florida,Approach,Medium,No Cloud,N,"1,500",Yes,None
205270,Airplane,DA-10 FALCON,10/16/00 0:00,No damage,BUSINESS,LOUISVILLE INTL ARPT,Kentucky,Approach,Small,Overcast,N,200,No,None
206599,Airplane,SAAB-340,10/16/00 0:00,No damage,AMERICAN EAGLE AIRLINES,LOGAN INTL,Massachusetts,Take-off run,Small,Overcast,Y,0,No,Aborted Take-off
204605,Airplane,B-757-200,10/19/00 0:00,No damage,DELTA AIR LINES,PALM BEACH INTL,Florida,Climb,Medium,No Cloud,N,"3,400",Yes,None
209019,Airplane,EMB-145,10/20/00 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),DALLAS LOVE FIELD ARPT,Texas,Approach,Small,Overcast,N,250,No,None
203507,Airplane,DHC8 DASH 8,10/22/00 0:00,No damage,CCAIR,CHARLOTTE/DOUGLAS INTL ARPT,North Carolina,Approach,Medium,No Cloud,Y,"2,000",No,None
206675,Airplane,C-208,10/24/00 0:00,No damage,BUSINESS,SACRAMENTO INTL,California,Climb,Large,No Cloud,N,"1,000",No,Precautionary Landing
208274,Airplane,A-300,10/25/00 0:00,No damage,ASTAR AIR CARGO,JOHN F KENNEDY INTL,New York,Take-off run,Medium,No Cloud,N,0,No,None
205535,Airplane,B-727,10/30/00 0:00,No damage,DELTA AIR LINES,MEMPHIS INTL,Tennessee,Climb,Small,Overcast,Y,50,No,None
204007,Airplane,CL-RJ100/200,10/31/00 0:00,No damage,COMAIR AIRLINES,BUFFALO-NIAGARA INTL,New York,Take-off run,Small,No Cloud,N,0,No,None
203497,Airplane,BA-31 JETSTR,11/01/00 0:00,No damage,BUSINESS,PEASE INTL TRADEPORT,New Hampshire,Take-off run,Small,Some Cloud,Y,0,No,Precautionary Landing
204236,Airplane,EMB-145,11/02/00 0:00,No damage,EXPRESSJET (CONTINENTAL EXPRS),CLEVELAND-HOPKINS INTL ARPT,Ohio,Approach,Small,Some Cloud,N,"3,500",No,None
205876,Airplane,IAI-1124,11/05/00 0:00,No damage,BUSINESS,BIRMINGHAM-SHUTTLESWORTH INTL,Alabama,Take-off run,Small,Overcast,Y,0,No,None
